CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
50011,0,9,Computer,1,15,Credit Card,Male,2,3,Mobile Phone,4,Married,7,0,18,0,2,2,120,1,67.5,0,0,12,592.25,0,0.018181818,218.8649096,0,Dec,1,1,5,3,Returning_Visitor,FALSE
50012,0,1,Mobile Phone,1,27,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,11,0,1,2,127,2,77,0,0,32,1223.416667,0,0.010784314,215.0094118,0,May,3,2,4,2,Returning_Visitor,FALSE
50013,0,30,Mobile Phone,1,30,Debit Card,Male,2,2,Fashion,2,Married,4,1,16,1,1,4,194,8,212.625,3,124.5,52,968.1964286,0,0.005172414,214.3066627,0,Nov,2,2,1,2,Returning_Visitor,FALSE
50014,0,0,Computer,1,14,Credit Card,Male,3,4,Mobile Phone,3,Married,2,1,15,0,1,1,126,3,89.6,0,0,57,1721.906667,0,0.005932203,204.0079491,0,Nov,2,2,1,4,Returning_Visitor,TRUE
50015,0,23,Mobile Phone,1,17,Debit Card,Female,2,3,Others,4,Single,4,0,15,2,4,4,299,0,0,0,0,7,138.8733333,0,0,179.307293,0,Nov,2,2,4,2,Returning_Visitor,TRUE
50016,0,14,Mobile Phone,1,14,Debit Card,Male,2,3,Mobile Phone,3,Married,5,0,12,1,1,8,125,0,0,1,2,33,2601.231408,0.005882353,0.011764706,177.7714536,0,Nov,2,2,7,20,Returning_Visitor,FALSE
50017,0,3,Mobile Phone,3,11,Debit Card,Female,2,3,Fashion,2,Divorced,3,0,12,2,7,4,194,0,0,0,0,50,1232.02684,0,0.001666667,173.4697917,0,May,2,2,9,2,Returning_Visitor,FALSE
50018,0,11,Mobile Phone,3,6,Debit Card,Female,2,4,Laptop & Accessory,2,Single,5,0,22,1,1,1,187,13,216.3333333,1,9,59,985.3151515,0,0.004545455,167.2308336,0,Nov,2,2,4,10,Returning_Visitor,TRUE
50019,0,5,Mobile Phone,1,12,Debit Card,Male,3,3,Mobile Phone,3,Single,4,0,20,0,1,4,130,1,6,1,7,25,591.8928571,0,0.020833333,165.6204667,0,May,1,1,8,4,Returning_Visitor,TRUE
50020,0,0,Mobile Phone,1,23,Cash on Delivery,Male,3,3,Mobile Phone,4,Divorced,1,1,16,1,1,1,131,0,0,2,594.1333333,39,922.4006061,0,0.001709402,154.0955389,0,Sep,3,2,1,2,Returning_Visitor,FALSE
50021,0,9,Computer,1,9,Credit Card,Male,1,3,Mobile Phone,4,Single,5,0,12,4,7,2,121,0,0,2,101.7,42,1892.198319,0,0.004545455,153.5776975,0,Aug,2,2,1,1,Returning_Visitor,FALSE
50022,0,3,Computer,1,15,Credit Card,Male,3,3,Laptop & Accessory,5,Married,2,0,11,0,6,10,131,1,32,0,0,50,2867,0,0.004,153.4432478,0,Mar,2,2,7,8,Returning_Visitor,TRUE
50023,0,18,Mobile Phone,3,10,Debit Card,Female,1,3,Laptop & Accessory,5,Married,5,1,11,0,1,3,150,0,0,0,0,17,356.0833333,0,0.013333333,151.5650523,0,Nov,2,5,5,8,Returning_Visitor,FALSE
50024,0,29,Mobile Phone,1,14,Debit Card,Female,3,3,Mobile Phone,5,Married,5,1,18,1,2,2,143,2,101.5,0,0,16,692.6666667,0,0.0125,146.23875,0,May,2,2,5,2,Returning_Visitor,FALSE
50025,0,6,Mobile Phone,1,14,Debit Card,Male,2,3,Mobile Phone,2,Single,1,0,14,0,1,2,125,1,21,1,61,49,1647.152381,0,8.00E-04,144.3934888,0,Mar,2,2,7,2,Returning_Visitor,TRUE
50026,0,19,Mobile Phone,3,6,E wallet,Female,3,3,Fashion,5,Married,2,0,25,4,15,7,205,2,57.5,0,0,16,1226,0,0.0125,143.4766783,0,Dec,2,2,9,2,Returning_Visitor,TRUE
50027,0,9,Mobile Phone,1,15,Debit Card,Female,3,3,Mobile Phone,2,Single,2,0,12,1,2,1,123,0,0,2,236,66,1483.55,0,0.006153846,143.2115385,0,May,2,4,3,3,Returning_Visitor,TRUE
50028,0,4,Mobile Phone,1,18,Credit Card,Female,3,3,Mobile Phone,2,Divorced,9,1,23,1,1,2,139,1,42.5,1,12.83333333,104,4054.755952,0.003883495,0.010097087,141.4590538,0,Nov,2,2,1,2,Returning_Visitor,FALSE
50029,0,9,Mobile Phone,1,33,Credit Card,Female,3,3,Mobile Phone,4,Single,3,0,15,1,1,2,123,0,0,0,0,23,736.2333333,0.004545455,0.013636364,140.6621366,0,Dec,1,8,1,11,Returning_Visitor,FALSE
50030,0,23,Mobile Phone,1,6,Credit Card,Male,2,4,Mobile Phone,3,Divorced,3,0,15,0,1,2,137,6,106,0,0,42,1384.197436,0,0.004651163,136.937958,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50031,0,26,Mobile Phone,1,19,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,0,11,1,1,3,145,2,96,0,0,61,1260.524994,0,0.003225806,131.5040438,0,Nov,2,2,7,10,Returning_Visitor,TRUE
50032,0,6,Mobile Phone,1,20,Credit Card,Female,3,3,Mobile Phone,4,Divorced,2,0,13,0,1,6,128,0,0,0,0,17,1040.1,0,0.013333333,128.8278691,0,Dec,2,2,5,2,Returning_Visitor,FALSE
50033,0,13,Mobile Phone,1,10,Credit Card,Female,2,3,Others,3,Divorced,2,0,14,1,9,9,290,0,0,0,0,7,284.5,0,0.028571429,128.4686939,0,Dec,2,2,4,10,Returning_Visitor,FALSE
50034,0,28,Mobile Phone,1,20,Credit Card,Male,3,2,Others,4,Single,9,0,11,1,2,15,287,0,0,0,0,3,139,0,0.066666667,127.3080148,0,Dec,2,10,1,2,Returning_Visitor,FALSE
50035,0,7,Computer,1,8,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,2,0,17,0,1,9,195,0,0,0,0,10,208,0,0.022222222,125.961749,0,Dec,2,2,1,2,Returning_Visitor,FALSE
50036,0,24,Mobile Phone,1,9,Credit Card,Female,3,3,Grocery,4,Single,4,0,18,0,2,0,237,0,0,0,0,5,883.6,0,0,125.8939091,0,Nov,2,2,4,2,Returning_Visitor,TRUE
50037,0,25,Mobile Phone,1,6,Debit Card,Male,3,4,Others,3,Divorced,1,0,15,1,11,9,300,0,0,0,0,6,339.5,0,0.016666667,124.9045858,0,Nov,2,6,9,20,Returning_Visitor,FALSE
50038,0,9,Mobile Phone,1,15,Credit Card,Female,2,3,Mobile Phone,4,Single,2,0,16,1,1,3,123,0,0,0,0,14,354.25,0,0.015384615,124.032,0,May,1,1,6,5,Returning_Visitor,FALSE
50039,0,9,Computer,1,13,Credit Card,Male,2,2,Mobile Phone,2,Married,5,0,14,0,2,2,121,0,0,0,0,53,3575,0,0.003846154,119.8943327,0,Nov,2,5,6,2,Returning_Visitor,FALSE
50040,0,18,Computer,1,8,Credit Card,Male,3,4,Grocery,2,Divorced,10,0,23,1,11,8,268,2,49.4,0,0,45,1526.14119,0,0.004444444,117.6165932,0,Sep,2,2,3,2,Returning_Visitor,TRUE
50041,0,10,Mobile Phone,1,27,Debit Card,Male,3,2,Mobile Phone,5,Divorced,2,1,12,0,1,7,136,1,46.5,0,0,14,398.9791667,0,0.014285714,116.3378652,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50042,0,8,Computer,1,8,Credit Card,Female,2,3,Laptop & Accessory,4,Single,6,0,11,1,1,2,144,0,0,0,0,19,1040.2,0,0.011111111,115.98,0,May,2,2,6,2,Returning_Visitor,TRUE
50043,0,15,Computer,1,27,Credit Card,Female,2,3,Laptop & Accessory,3,Married,3,0,16,0,1,2,153,1,70.5,0,0,12,541.5357143,0,0.008333333,115.7819471,0,Nov,2,5,3,2,Returning_Visitor,TRUE
50044,0,11,Mobile Phone,1,8,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,10,0,14,0,1,0,166,1,24,0,0,15,496.75,0,0.00625,115.48625,0,May,2,2,3,2,Returning_Visitor,FALSE
50045,0,11,Mobile Phone,1,35,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,0,18,0,1,7,163,2,38,0,0,11,713,0,0.016666667,113.98,0,May,2,2,1,2,Returning_Visitor,FALSE
50046,0,0,Computer,1,6,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Divorced,6,0,19,0,2,0,143,4,1660.3,0,0,2,45.7,0,0.016666667,113.9293434,0,Sep,2,10,1,2,Returning_Visitor,FALSE
50047,0,22,Computer,1,24,Debit Card,Male,3,3,Laptop & Accessory,2,Married,2,1,15,0,1,7,168,1,0,0,0,3,58.6,0,0.05,113.3238614,0,Oct,2,2,9,2,Returning_Visitor,TRUE
50048,0,7,Computer,1,16,Credit Card,Male,2,3,Mobile Phone,3,Married,2,1,17,2,2,0,138,5,181.3333333,0,0,42,792.6666667,0,0.001626016,113.1512195,0,May,2,2,1,4,Returning_Visitor,TRUE
50049,0,13,Mobile Phone,1,25,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,9,1,15,1,3,7,127,7,167.375,6,135,155,4263.977734,0.005373737,0.012004543,112.6661365,0,Nov,1,2,1,2,Returning_Visitor,FALSE
50050,0,0,Mobile Phone,1,14,Debit Card,Male,2,2,Mobile Phone,4,Married,2,1,16,0,2,2,123,3,213,0,0,2,338,0,0,112.4141272,0,Oct,1,1,1,5,Returning_Visitor,FALSE
50051,0,9,Computer,1,24,Credit Card,Female,3,3,Mobile Phone,2,Single,2,0,13,1,1,7,122,1,64.5,0,0,32,1443.641667,0,0.010784314,111.2629939,0,Nov,2,2,1,2,Returning_Visitor,TRUE
50052,0,13,Computer,1,15,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced,10,0,14,1,1,2,149,0,0,0,0,68,809.2456349,0.002985075,0.005970149,109.9124051,0,Mar,2,5,4,2,Returning_Visitor,FALSE
50053,0,19,Mobile Phone,1,6,Credit Card,Male,3,3,Fashion,5,Married,8,0,16,0,1,3,194,3,54,0,0,50,1911.333333,0.004,0.013,109.5876,0,May,2,2,7,6,Returning_Visitor,TRUE
50054,0,3,Computer,1,6,Debit Card,Male,2,4,Fashion,3,Single,2,0,22,2,5,8,185,0,0,0,0,17,840.2333333,0,0.001666667,109.176,0,Mar,2,2,9,2,Returning_Visitor,FALSE
50055,0,0,Computer,3,26,Debit Card,Female,2,3,Laptop & Accessory,3,Single,2,0,14,1,1,7,200,0,0,0,0,8,642,0,0.028571429,109.1211555,0,Dec,2,2,3,2,Returning_Visitor,FALSE
50056,0,24,Mobile Phone,1,14,Debit Card,Male,2,4,Fashion,4,Divorced,6,0,16,1,4,3,225,4,47,1,49.5,28,687.4670635,0.013978495,0.02734255,108.9089884,0,Nov,1,1,1,2,Returning_Visitor,TRUE
50057,0,14,Mobile Phone,3,12,Debit Card,Female,3,3,Fashion,2,Single,4,1,18,0,2,0,236,8,636,0,0,52,3374.016667,0,0.003703704,108.0893873,0,Nov,2,2,3,13,Returning_Visitor,FALSE
50058,0,18,Computer,3,12,Credit Card,Female,2,4,Fashion,2,Single,7,0,12,12,12,8,189,4,85,0,0,22,452.5833333,0,0.008333333,107.94,0,May,2,2,6,4,Returning_Visitor,FALSE
50059,0,27,Mobile Phone,3,9,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,3,0,14,1,1,5,159,1,24.5,0,0,46,1525.666667,0,0.006382979,107.2170213,0,May,2,2,2,4,Returning_Visitor,FALSE
50060,0,9,Mobile Phone,1,11,Debit Card,Male,3,3,Laptop & Accessory,4,Single,9,0,16,0,3,7,159,0,0,0,0,24,968.6924242,0,0,106.2525169,0,Nov,1,1,9,2,Returning_Visitor,FALSE
50061,0,6,Mobile Phone,1,14,Credit Card,Female,2,4,Mobile Phone,4,Divorced,7,0,21,0,1,1,126,4,900.5,0,0,14,1957.5,0,0.014117647,105.260972,0,Dec,1,1,3,10,Returning_Visitor,FALSE
50062,0,10,Computer,1,17,UPI,Male,2,3,Fashion,2,Married,2,1,14,0,1,3,222,0,0,0,0,20,526.8,0,0.010526316,104.2012273,0,Sep,2,2,1,2,Returning_Visitor,FALSE
50063,0,11,Mobile Phone,3,9,Debit Card,Male,3,3,Fashion,3,Married,1,0,12,1,5,13,206,1,27.5,0,0,20,922.7083333,0,0.00952381,103.1402899,0,Dec,2,2,6,2,Returning_Visitor,FALSE
50064,0,4,Computer,1,6,Credit Card,Male,2,5,Laptop & Accessory,3,Divorced,1,0,12,1,1,4,143,0,0,0,0,13,1314.083333,0,0.008333333,103.0610827,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50065,0,9,Mobile Phone,1,9,Debit Card,Male,3,4,Mobile Phone,2,Divorced,4,0,17,0,1,0,122,5,72.5,0,0,35,2429.8125,0,0.023684211,102.4922188,0,Nov,2,2,2,1,Returning_Visitor,FALSE
50066,0,10,Computer,3,10,E wallet,Male,2,3,Mobile Phone,2,Married,5,0,17,1,5,8,0,1,51,2,176,37,1420.733333,0,0.012612613,102.3538378,0,May,2,5,7,4,Returning_Visitor,TRUE
50067,0,2,Computer,3,6,Credit Card,Female,2,3,Fashion,2,Divorced,2,0,14,4,4,1,179,2,100,0,0,22,639.5,0,0.008695652,101.3721739,0,May,1,1,1,4,Returning_Visitor,TRUE
50068,0,8,Computer,3,6,E wallet,Female,3,3,Fashion,3,Single,2,0,14,1,1,8,188,2,50.5,0,0,14,689.3833333,0,0.013333333,100.7776,0,May,2,2,3,2,Returning_Visitor,FALSE
50069,0,25,Mobile Phone,1,8,Debit Card,Female,2,4,Mobile Phone,2,Single,8,0,15,0,2,2,132,0,0,0,0,29,1970,0,0,100.7256048,0,Oct,4,1,5,2,Returning_Visitor,FALSE
50070,0,15,Mobile Phone,1,10,Cash on Delivery,Male,2,3,Others,2,Divorced,2,0,15,0,11,15,292,0,0,0,0,30,1438,0,0.013793103,100.1655678,0,Nov,4,1,1,3,Returning_Visitor,FALSE
50071,0,9,Mobile Phone,2,12,Credit Card,Male,2,3,Mobile Phone,3,Divorced,9,0,17,2,2,2,123,2,72.5,0,0,10,1580,0,0.018181818,100.0963636,0,May,2,2,1,2,Returning_Visitor,FALSE
50072,0,23,Mobile Phone,3,6,Credit Card,Female,3,3,Others,2,Married,4,0,15,1,1,6,295,0,0,0,0,13,1496.833333,0,0.015384615,98.13692308,0,May,2,4,6,4,Returning_Visitor,FALSE
50073,0,16,Mobile Phone,3,22,E wallet,Female,3,3,Grocery,2,Divorced,6,1,22,0,2,9,261,0,0,0,0,69,2243.676587,0,0.002985075,97.9922066,0,Nov,2,2,2,2,Returning_Visitor,FALSE
50074,0,25,Computer,3,8,Debit Card,Male,3,4,Others,3,Single,2,1,18,1,15,12,291,0,0,0,0,10,724,0,0.022222222,97.98,0,May,1,1,4,2,Returning_Visitor,TRUE
50075,0,5,Mobile Phone,3,10,Debit Card,Female,2,3,Mobile Phone,4,Divorced,3,0,11,1,1,2,139,6,133.4666667,0,0,44,2664.445833,0.002040816,0.010884354,97.86083623,0,Nov,2,2,1,3,Returning_Visitor,TRUE
50076,0,9,Mobile Phone,1,6,Credit Card,Female,3,3,Mobile Phone,3,Married,8,0,14,0,1,2,122,0,0,0,0,47,3650.316667,0,0.003333333,97.19657367,0,Nov,2,2,1,10,Returning_Visitor,FALSE
50077,0,5,Computer,3,32,E wallet,Male,3,3,Laptop & Accessory,2,Divorced,1,0,18,1,2,2,145,3,94,2,125,55,1970.844805,0,0.001724138,96.25511582,0,Mar,2,4,1,2,Returning_Visitor,TRUE
50078,0,14,Mobile Phone,1,25,Debit Card,Male,3,3,Laptop & Accessory,5,Married,3,0,16,1,1,0,131,6,113.25,2,19,23,2049.75,0.022222222,0.033333333,95.35469341,0,Dec,1,1,2,2,Returning_Visitor,FALSE
50079,0,13,Mobile Phone,1,30,Cash on Delivery,Male,3,3,Laptop & Accessory,2,Married,2,0,17,2,4,7,133,0,0,0,0,14,1131.208333,0,0.015384615,94.19490268,0,Nov,3,2,3,11,Returning_Visitor,TRUE
50080,0,18,Mobile Phone,1,6,UPI,Male,3,2,Others,2,Divorced,1,0,15,1,1,7,292,3,113.1,0,0,17,237.6066667,0,0.033333333,94.10360412,0,Oct,1,1,2,4,Returning_Visitor,FALSE
50081,0,4,Computer,1,9,Credit Card,Male,3,3,Fashion,3,Married,10,0,12,1,2,2,237,2,28.2,0,0,7,212.5,0,0.007407407,94.01683315,0,Nov,2,2,3,2,Returning_Visitor,TRUE
50082,0,6,Mobile Phone,1,11,Debit Card,Female,3,4,Mobile Phone,2,Divorced,2,0,13,0,1,2,129,0,0,0,0,16,865.5833333,0,0.002083333,93.77761706,0,Dec,1,1,1,2,Returning_Visitor,TRUE
50083,0,7,Mobile Phone,1,8,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced,7,0,13,0,5,9,160,3,48,1,58.5,35,1698,0.005714286,0.005714286,93.52994426,0,Nov,4,1,1,2,Returning_Visitor,TRUE
50084,0,10,Mobile Phone,1,6,Credit Card,Female,2,4,Mobile Phone,5,Divorced,3,0,14,1,1,2,139,1,156.2,0,0,3,50.4,0,0,92.97624144,0,Oct,2,2,7,2,Returning_Visitor,TRUE
50085,0,18,Computer,1,13,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced,5,0,17,0,1,2,164,0,0,0,0,15,593.75,0,0.014285714,92.9394993,0,Nov,1,8,3,11,Returning_Visitor,TRUE
50086,0,12,Computer,1,8,Cash on Delivery,Female,3,3,Fashion,3,Single,1,0,25,10,11,3,209,0,0,0,0,16,2214.666667,0,0.003921569,92.9041786,0,Oct,2,2,1,2,Returning_Visitor,FALSE
50087,0,2,Mobile Phone,1,14,Debit Card,Male,2,3,Mobile Phone,2,Single,2,0,19,0,1,5,123,0,0,0,0,9,953.8333333,0,0.011428571,92.83857143,0,May,3,2,1,5,Returning_Visitor,TRUE
50088,0,15,Mobile Phone,1,23,Debit Card,Female,2,2,Laptop & Accessory,5,Single,4,1,13,0,1,2,165,0,0,0,0,26,1377.769697,0,0.008,92.4822063,0,Mar,2,2,7,2,Returning_Visitor,FALSE
50089,0,2,Mobile Phone,3,26,E wallet,Male,2,3,Laptop & Accessory,2,Married,3,0,14,1,1,2,169,5,243.6666667,1,415,20,1267.233333,0,0.01,91.98,0,Mar,1,1,3,1,Returning_Visitor,FALSE
50090,0,0,Mobile Phone,1,6,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced,1,0,12,1,1,2,149,0,0,0,0,21,952.5333333,0,0.01,91.246,0,May,2,4,1,3,Returning_Visitor,FALSE
50091,0,15,Mobile Phone,1,14,Credit Card,Female,2,4,Mobile Phone,5,Married,1,1,11,4,7,8,126,0,0,0,0,19,577.5416667,0,0.011764706,90.9285217,0,Nov,2,2,1,2,Returning_Visitor,FALSE
50092,0,13,Mobile Phone,1,8,Credit Card,Male,2,3,Others,3,Married,1,0,15,0,3,9,294,0,0,0,0,36,777.3333333,0,0.005882353,89.2954867,0,Dec,3,2,4,8,Returning_Visitor,TRUE
50093,0,24,Mobile Phone,1,6,Debit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,11,1,1,0,127,0,0,0,0,15,428,0,0.014285714,89.13481061,0,Nov,1,8,3,6,Returning_Visitor,TRUE
50094,0,5,Computer,1,13,Debit Card,Male,3,2,Mobile Phone,4,Divorced,2,0,20,0,1,3,128,0,0,0,0,63,1401.50873,0,0.003225806,88.95486906,0,Nov,1,1,1,7,Returning_Visitor,FALSE
50095,0,11,Computer,3,8,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced,4,0,18,6,7,5,152,3,98.6,0,0,7,131.8,0,0.02,88.84365062,0,Oct,2,2,7,2,Returning_Visitor,FALSE
50096,0,9,Mobile Phone,1,8,Cash on Delivery,Male,2,4,Laptop & Accessory,5,Single,5,0,13,0,1,4,122,3,22,0,0,15,259.75,0,0.010416667,88.80448992,0,Dec,2,2,1,2,Returning_Visitor,TRUE
50097,0,19,Mobile Phone,3,8,Cash on Delivery,Female,3,5,Grocery,4,Divorced,4,1,12,1,7,7,269,0,0,0,0,10,408,0,0.022222222,88.78460596,0,Mar,2,2,1,2,Returning_Visitor,FALSE
50098,0,2,Mobile Phone,3,8,Credit Card,Male,3,4,Laptop & Accessory,4,Divorced,3,0,19,0,1,0,166,0,0,0,0,10,349.1111111,0.02,0.02,88.39170518,0,Oct,3,2,1,20,Returning_Visitor,TRUE
50099,0,4,Mobile Phone,1,29,Credit Card,Male,3,4,Laptop & Accessory,2,Divorced,1,0,21,1,7,8,156,2,116.8,0,0,5,170.4,0,0.028571429,88.06848401,0,Nov,2,2,7,2,Returning_Visitor,FALSE
50100,0,0,Computer,1,11,Debit Card,Male,2,2,Laptop & Accessory,5,Married,2,0,12,1,1,5,140,0,0,0,0,6,222,0,0.04,87.9029606,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50101,0,18,Mobile Phone,1,26,Credit Card,Male,3,3,Grocery,2,Divorced,1,1,14,0,2,10,235,6,213.5,0,0,11,303.5,0,0.016666667,87.9029606,0,Dec,8,13,9,20,Returning_Visitor,FALSE
50102,0,9,Mobile Phone,1,12,Debit Card,Male,2,3,Mobile Phone,2,Divorced,1,0,11,4,10,11,132,1,57.5,0,0,32,534.2638889,0,0.011111111,87.74978701,0,Dec,1,2,1,8,Returning_Visitor,TRUE
50103,0,28,Mobile Phone,1,6,Credit Card,Male,2,3,Others,5,Single,1,1,14,1,4,13,290,10,291.2357143,0,0,36,940.1044266,0,0.002845528,87.30695843,0,Aug,2,2,2,2,Returning_Visitor,FALSE
50104,0,9,Mobile Phone,1,15,Credit Card,Male,3,3,Mobile Phone,2,Divorced,2,0,23,1,1,4,121,16,314.505,0,0,37,1048.663333,0,0.008695652,87.25396293,0,Nov,1,1,3,2,Returning_Visitor,FALSE
50105,0,10,Mobile Phone,3,12,Credit Card,Male,3,3,Laptop & Accessory,2,Divorced,5,0,14,0,1,1,165,0,0,0,0,12,499,0,0.018181818,86.388,0,May,2,2,6,2,Returning_Visitor,TRUE
50106,0,0,Mobile Phone,1,9,Credit Card,Male,3,4,Mobile Phone,3,Single,2,0,17,1,1,0,132,0,0,0,0,6,95,0.028571429,0.028571429,86.33623272,0,Oct,1,1,4,2,Returning_Visitor,FALSE
50107,0,10,Computer,1,6,Credit Card,Female,0,3,Fashion,2,Married,3,1,18,0,2,2,236,1,38.2,1,9,21,1290.5,0,0,86.12351528,0,Nov,2,2,9,2,Returning_Visitor,FALSE
50108,0,2,Mobile Phone,1,28,Debit Card,Female,3,2,Fashion,4,Married,8,0,18,5,6,3,220,2,14.25,0,0,29,1082.75,0,0.006896552,84.87572674,0,Nov,2,5,3,2,Returning_Visitor,FALSE
50109,0,11,Mobile Phone,3,13,Credit Card,Female,2,2,Laptop & Accessory,5,Married,2,1,24,0,7,7,156,9,181.375,0,0,116,4426.650649,0,0.008064516,84.30663844,0,May,2,2,2,6,Returning_Visitor,TRUE
50110,0,0,Computer,1,6,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,0,20,0,1,4,164,1,131.5,1,19,62,1524.962997,0,0.003266621,83.96813664,0,Nov,2,2,1,2,Returning_Visitor,FALSE
50111,0,23,Mobile Phone,1,10,Debit Card,Male,3,3,Others,4,Married,4,0,14,1,1,6,291,0,0,0,0,17,557.4,0,0.011111111,83.93274289,0,Sep,2,2,2,2,Returning_Visitor,TRUE
50112,0,26,Mobile Phone,1,9,Credit Card,Male,2,3,Grocery,3,Divorced,4,1,16,1,1,3,276,0,0,0,0,32,905.1,0,0,83.80837784,0,Oct,2,2,6,2,Returning_Visitor,FALSE
50113,0,15,Mobile Phone,3,6,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,2,0,25,4,11,6,149,4,218.9666667,0,0,12,672.7,0,0.004444444,83.10114264,0,Nov,2,2,3,2,Returning_Visitor,TRUE
50114,0,2,Computer,3,8,Debit Card,Male,2,3,Laptop & Accessory,2,Single,2,0,18,0,1,9,146,8,102,0,0,83,1495.580952,0,0.002298851,82.12367816,0,May,4,1,7,4,Returning_Visitor,TRUE
50115,0,28,Mobile Phone,1,26,Cash on Delivery,Male,2,3,Laptop & Accessory,2,Divorced,4,1,19,1,1,8,154,1,149.2,0,0,13,272.0083333,0,0.014285714,82.021436,0,Oct,1,1,1,20,Returning_Visitor,FALSE
50116,0,0,Computer,1,17,Credit Card,Male,2,3,Laptop & Accessory,5,Divorced,2,1,13,2,3,3,147,5,97.83333333,0,0,15,489,0,0.00625,81.334441,0,Dec,8,13,9,20,Returning_Visitor,FALSE
